Genotype ,PLOT ID,REP,Fresh Weight,Leaf Area,SPAD 1,SPAD 2 ,SPAD 3,Field Location,Growth Stage,Source
2FACC x 3IIH6,6226,2,7,232.6,58.6,60.1,44.5,HIPS,1,GH
B73 x Mo17,6238,1,6.5,276.8,48.2,53.5,55.8,HIPS,1,GH
B73 x Mo17,6238,2,6.7,266.2,50.1,54.2,59.8,HIPS,1,GH
B84 x 3IIH6,6241,1,6.8,262.9,46.7,45.7,52.7,HIPS,1,GH
B84 x 3IIH6,6241,2,5.8,216.3,45,51.4,55.5,HIPS,1,GH
B73 x PHZ51,6247,1,3.15,145.4,42.4,48.2,41.4,HIPS,1,GH
B73 x PHZ51,6247,2,3.65,188.1,43.8,50.9,46,HIPS,1,GH
LH123HT x 3IIH6,6255,1,4.3,196.1,43.9,41.7,50,HIPS,1,GH
LH123HT x 3IIH6,6255,2,4.1,179.4,45,48.2,53.8,HIPS,1,GH
B14A x Mo17,6261,1,6.2,278.3,48.4,49.7,54.2,HIPS,1,GH
B14A x Mo17,6261,2,6.7,276.1,44.8,60,59.3,HIPS,1,GH
B37 x Mo17,6262,1,5.45,249.4,43.4,54.7,51.1,HIPS,1,GH
B37 x Mo17,6262,2,5.8,259,47.1,51.2,49.6,HIPS,1,GH
WF9 x H95,6263,1,7.2,303.6,47.1,52.8,55.5,HIPS,1,GH
WF9 x H95,6263,2,7.2,317.3,53.3,52.6,49.1,HIPS,1,GH
B37 x OH43,6267,1,4.4,190.5,51.7,45,53.1,HIPS,1,GH
B37 x OH43,6267,2,5.15,233.6,49.1,54,51.3,HIPS,1,GH
B73 x 3IIH6,6268,1,7,294,54.7,51.6,54.8,HIPS,1,GH
B73 x 3IIH6,6268,2,5.35,205,51.8,53.2,54.9,HIPS,1,GH
F42 x OH43,6272,1,5.75,260.6,55.5,50,49.6,HIPS,1,GH
F42 x OH43,6272,2,6.1,261.6,45.9,57.8,57.1,HIPS,1,GH
B37 x H95,6274,1,5.95,264.1,47.5,48.9,49.9,HIPS,1,GH
B37 x H95,6274,2,8.7,357,50.4,51.8,51.5,HIPS,1,GH
PHZ51 x LH145,6276,1,6.3,253.5,48.9,39.3,47.8,HIPS,1,GH
PHZ51 x LH145,6276,2,7.45,332.9,52.8,52.1,52.4,HIPS,1,GH
