Genotype ,PLOT ID,Rep,Field Location,Growth Stage,Fresh Weight,Leaf Area
Oh43@,2109,2,SAM,2,8.9,428.8
PHJ40@,2127,1,SAM,2,7.68,369.6
PHJ40@,2127,2,SAM,2,5.75,307.7
LH82@,2136,1,SAM,2,7.78,394.9
LH82@,2136,2,SAM,2,8.99,419.3
B73@,2180,1,SAM,2,6.38,310.6
B73@,2180,2,SAM,2,6.76,317.4
LH123HT@,2181,1,SAM,2,9.38,449.8
LH123HT@,2181,2,SAM,2,9.57,487.5
Oh43E@,2225,1,SAM,2,11.98,521.2
Oh43E@,2225,2,SAM,2,15.07,560.8
2FACC@,2241,1,SAM,2,6.62,307.7
2FACC@,2241,2,SAM,2,6.71,306.2
Wf9@,2242,1,SAM,2,8.96,471.6
Wf9@,2242,2,SAM,2,10.03,468.2
PHZ51@,2268,1,SAM,2,6.25,320.9
PHZ51@,2268,2,SAM,2,5.36,272.5
B14A@,2292,1,SAM,2,7.15,340.2
B14A@,2292,2,SAM,2,6.87,358.1
Mo17@,2311,1,SAM,2,6.72,311.9
Mo17@,2311,2,SAM,2,6.4,293.6
B84@,2321,1,SAM,2,6.4,318.5
B84@,2321,2,SAM,2,7.68,356.2
F42@,2378,1,SAM,2,10.16,411.4
F42@,2378,2,SAM,2,6.01,274.3
PHJ40 x LH82,4104,1,HIPS,2,6.38,394.4
PHJ40 x LH82,4104,2,HIPS,2,5.54,370.7
2FACC x 3IIH6,4106,1,HIPS,2,7.58,372
2FACC x 3IIH6,4106,2,HIPS,2,5.43,293.4
B37 x OH43,4108,1,HIPS,2,7.8,546.3
B37 x OH43,4108,2,HIPS,2,6.6,374.4
PHK76 x 3IIH6,4111,1,HIPS,2,6.76,357
PHK76 x 3IIH6,4111,2,HIPS,2,7.76,401.6
PHK76 x LH82,4115,1,HIPS,2,9.01,467.2
PHK76 x LH82,4115,2,HIPS,2,8.75,474.9
PHK76 x LH145,4119,1,HIPS,2,6.53,368.6
PHK76 x LH145,4119,2,HIPS,2,6.03,359.7
B73 x Mo17,4122,1,HIPS,2,8.49,437.9
B73 x Mo17,4122,2,HIPS,2,7.65,400.2
B73 x PHZ51,4124,1,HIPS,2,7.54,418.4
B73 x PHZ51,4124,2,HIPS,2,8.53,441.9
WF9 x H95,4127,1,HIPS,2,7.27,405
WF9 x H95,4127,2,HIPS,2,7.77,431
F42 x Mo17,4128,1,HIPS,2,9.21,478.8
F42 x Mo17,4128,2,HIPS,2,8.36,466.7
B37 x H95,4129,1,HIPS,2,6.93,402.6
B37 x H95,4129,2,HIPS,2,7.49,419.1
B14A x Mo17,4131,1,HIPS,2,5.78,338.8
B14A x Mo17,4131,2,HIPS,2,6.59,370.8
PHZ51 x LH145,4135,1,HIPS,2,4.59,286.6
PHZ51 x LH145,4135,2,HIPS,2,5.03,301.5
B37 x Mo17,4154,1,HIPS,2,9.12,480.7
B37 x Mo17,4154,2,HIPS,2,10.89,503.6
LH123HT x 3IIH6,4155,1,HIPS,2,5.59,316.7
LH123HT x 3IIH6,4155,2,HIPS,2,6.17,327.9
B84 x 3IIH6,4158,1,HIPS,2,11.02,540.6
B84 x 3IIH6,4158,2,HIPS,2,9.2,440.7
B73 x 3IIH6,4159,1,HIPS,2,9.31,461.9
B73 x 3IIH6,4159,2,HIPS,2,6.73,350.7
F42 x OH43,4167,1,HIPS,2,9.9,526.5
F42 x OH43,4167,2,HIPS,2,9.6,519.4
PHK76 x LH145,4204,1,HIPS,2,7.7,388
PHK76 x LH145,4204,2,HIPS,2,4.22,274.5
PHK76 x LH82,4205,1,HIPS,2,6.4,358.6
PHK76 x LH82,4205,2,HIPS,2,6.28,377.1
B84 x 3IIH6,4216,1,HIPS,2,9.65,474.5
B84 x 3IIH6,4216,2,HIPS,2,7.45,373.6
2FACC x 3IIH6,4217,1,HIPS,2,3.27,215.2
2FACC x 3IIH6,4217,2,HIPS,2,5.78,274.9
B73 x PHZ51,4225,1,HIPS,2,,
B73 x PHZ51,4225,2,HIPS,2,,
B14A x Mo17,4234,1,HIPS,2,8.64,449.1
B14A x Mo17,4234,2,HIPS,2,6.9,383
B37 x Mo17,4236,1,HIPS,2,8.39,394.9
B37 x Mo17,4236,2,HIPS,2,8.8,427.3
B37 x H95,4244,1,HIPS,2,8.93,455.8
B37 x H95,4244,2,HIPS,2,8.25,401.2
PHZ51 x LH145,4247,1,HIPS,2,5.13,310.9
PHZ51 x LH145,4247,2,HIPS,2,4.44,276.2
B73 x Mo17,4256,1,HIPS,2,10.29,527.7
B73 x Mo17,4256,2,HIPS,2,8.97,490.3
LH123HT x 3IIH6,4260,1,HIPS,2,6.73,324.8
LH123HT x 3IIH6,4260,2,HIPS,2,5.86,336.9
B73 x 3IIH6,4267,1,HIPS,2,9.47,469.7
B73 x 3IIH6,4267,2,HIPS,2,11.19,527
F42 x OH43,4272,1,HIPS,2,9.38,453.5
F42 x OH43,4272,2,HIPS,2,8.38,452.5
F42 x Mo17,4273,1,HIPS,2,,
F42 x Mo17,4273,2,HIPS,2,,
B37 x OH43,4274,1,HIPS,2,7.43,411.4
B37 x OH43,4274,2,HIPS,2,5.59,322.8
PHK76 x 3IIH6,4277,1,HIPS,2,7.18,402.1
PHK76 x 3IIH6,4277,2,HIPS,2,6.11,351.6
PHJ40 x LH82,4279,1,HIPS,2,6.42,399.1
PHJ40 x LH82,4279,2,HIPS,2,4.18,277.4
WF9 x H95,4280,1,HIPS,2,9.83,528.2
WF9 x H95,4280,2,HIPS,2,6.74,430.5
B37 x H95,5116,1,HIPS,2,5.51,364.9
B37 x H95,5116,2,HIPS,2,7.57,404.7
PHZ51 x LH145,5123,1,HIPS,2,3.98,255.9
PHZ51 x LH145,5123,2,HIPS,2,4.3,218.1
WF9 x H95,5126,1,HIPS,2,7.34,423.8
WF9 x H95,5126,2,HIPS,2,8.5,443.8
PHK76 x LH145,5128,1,HIPS,2,8.74,438.1
PHK76 x LH145,5128,2,HIPS,2,8.22,446.3
PHK76 x 3IIH6,5130,1,HIPS,2,6.23,331.5
PHK76 x 3IIH6,5130,2,HIPS,2,5.53,308.1
F42 x Mo17,5131,1,HIPS,2,6.5,346.4
F42 x Mo17,5131,2,HIPS,2,,
PHJ40 x LH82,5135,1,HIPS,2,5.72,348.7
PHJ40 x LH82,5135,2,HIPS,2,5.84,345.3
2FACC x 3IIH6,5144,1,HIPS,2,6.42,333.8
2FACC x 3IIH6,5144,2,HIPS,2,5.78,310.5
B73 x PHZ51,5147,1,HIPS,2,6.4,355.2
