Genotype ,Plot_ID,Rep,Location,Growth_Stage,Fresh_Weight,Leaf_Area,SPAD_1,SPAD_2 ,SPAD_3,SLA
PHJ40 x LH82,6122,1,HIPS,1,8.3,368.4,35.7,44,44,
PHJ40 x LH82,6122,2,HIPS,1,5.3,257.5,41.7,39.3,45.4,
F42 x OH43,6127,1,HIPS,1,7.2,308.7,47.2,52.2,57,
F42 x OH43,6127,2,HIPS,1,6.5,287.6,52.4,56.8,57.5,
LH123HT x 3IIH6,6128,1,HIPS,1,8.05,340.1,50.5,52.3,55.3,
LH123HT x 3IIH6,6128,2,HIPS,1,7.5,298.3,48.9,51.6,47.1,
PHZ51 x LH145,6132,1,HIPS,1,3.25,169.8,48,49.7,50.1,
PHZ51 x LH145,6132,2,HIPS,1,3.85,180.8,47.7,55.7,52.7,
B84 x 3IIH6,6134,1,HIPS,1,7.7,285.2,52.6,60.8,60.4,
B84 x 3IIH6,6134,2,HIPS,1,7.95,273.6,52.8,61.7,58.6,
F42 x Mo17,6137,1,HIPS,1,3.45,164.6,48.7,51.3,52.9,
F42 x Mo17,6137,2,HIPS,1,7.55,306.1,51,57.1,58.2,
B14A x Mo17,6140,1,HIPS,1,6.6,268.6,48.9,54.8,49.9,
B14A x Mo17,6140,2,HIPS,1,6,258.4,50.4,55.1,57.4,
PHK76 x LH145,6143,1,HIPS,1,2.9,139.7,44.7,44.6,54.3,
PHK76 x LH145,6143,2,HIPS,1,4,185.2,47.6,56.2,50.3,
B73 x 3IIH6,6149,1,HIPS,1,3.95,178.4,36.8,44,47,
B73 x 3IIH6,6149,2,HIPS,1,4,173,42.7,54.9,45.7,
B37 x OH43,6153,1,HIPS,1,6.65,285.9,57.1,57.9,59.1,
B37 x OH43,6153,2,HIPS,1,4.75,196.5,45.5,56.7,53.7,
B37 x Mo17,6155,1,HIPS,1,7.8,301.1,52.5,49.1,56.5,
B37 x Mo17,6155,2,HIPS,1,6.8,282.3,49.8,50.4,58.7,
B37 x H95,6158,1,HIPS,1,4.2,196.6,45.2,48.8,51.6,
B37 x H95,6158,2,HIPS,1,4.15,203.3,40.9,44.3,49.2,
2FACC x 3IIH6,6159,1,HIPS,1,7.4,302.3,51.9,55,57.4,
2FACC x 3IIH6,6159,2,HIPS,1,8.35,301.1,45,48.6,55.6,
B73 x Mo17,6162,1,HIPS,1,5,225.4,49,55.7,56.9,
B73 x Mo17,6162,2,HIPS,1,9.5,368.4,52.7,56.3,56.5,
PHK76 x LH82,6170,1,HIPS,1,6.89,403.9,275.8,373.4,411.4,
PHK76 x LH82,6170,2,HIPS,1,7.48,426.5,354.6,438.5,488.5,
PHK76 x LH82,6174,1,HIPS,1,4.25,211.2,49.9,47.2,47.8,
PHK76 x LH82,6174,2,HIPS,1,4.05,193.5,50.8,47.7,47.2,
PHJ40 x LH82,6184,1,HIPS,1,6.3,289.9,41.3,46.9,49.9,
PHJ40 x LH82,6184,2,HIPS,1,4.5,227.8,39.7,48.8,50.2,
PHK76 x LH145,6210,1,HIPS,1,7.1,316.4,45.3,53.1,55.1,
PHK76 x LH145,6210,2,HIPS,1,4.4,222.4,43.9,52.3,53.7,
PHK76 x 3IIH6,6219,1,HIPS,1,6.1,264.6,52.3,55.8,51.6,
PHK76 x 3IIH6,6219,2,HIPS,1,7.35,353.1,55.1,55.5,54.7,
F42 x Mo17,6223,1,HIPS,1,7.35,308.6,45.9,55.3,53.6,
F42 x Mo17,6223,2,HIPS,1,6.65,273.1,52,57.3,57.1,
2FACC x 3IIH6,6226,1,HIPS,1,6.2,232.3,45.4,48.1,50.5,
2FACC x 3IIH6,6226,2,HIPS,1,7,232.6,58.6,60.1,44.5,
B73 x Mo17,6238,1,HIPS,1,6.5,276.8,48.2,53.5,55.8,
B73 x Mo17,6238,2,HIPS,1,6.7,266.2,50.1,54.2,59.8,
B84 x 3IIH6,6241,1,HIPS,1,6.8,262.9,46.7,45.7,52.7,
B84 x 3IIH6,6241,2,HIPS,1,5.8,216.3,45,51.4,55.5,
B73 x PHZ51,6247,1,HIPS,1,3.15,145.4,42.4,48.2,41.4,
B73 x PHZ51,6247,2,HIPS,1,3.65,188.1,43.8,50.9,46,
LH123HT x 3IIH6,6255,1,HIPS,1,4.3,196.1,43.9,41.7,50,
LH123HT x 3IIH6,6255,2,HIPS,1,4.1,179.4,45,48.2,53.8,
B14A x Mo17,6261,1,HIPS,1,6.2,278.3,48.4,49.7,54.2,
B14A x Mo17,6261,2,HIPS,1,6.7,276.1,44.8,60,59.3,
B37 x Mo17,6262,1,HIPS,1,5.45,249.4,43.4,54.7,51.1,
B37 x Mo17,6262,2,HIPS,1,5.8,259,47.1,51.2,49.6,
WF9 x H95,6263,1,HIPS,1,7.2,303.6,47.1,52.8,55.5,
WF9 x H95,6263,2,HIPS,1,7.2,317.3,53.3,52.6,49.1,
B37 x OH43,6267,1,HIPS,1,4.4,190.5,51.7,45,53.1,
B37 x OH43,6267,2,HIPS,1,5.15,233.6,49.1,54,51.3,
B73 x 3IIH6,6268,1,HIPS,1,7,294,54.7,51.6,54.8,
B73 x 3IIH6,6268,2,HIPS,1,5.35,205,51.8,53.2,54.9,
F42 x OH43,6272,1,HIPS,1,5.75,260.6,55.5,50,49.6,
F42 x OH43,6272,2,HIPS,1,6.1,261.6,45.9,57.8,57.1,
B37 x H95,6274,1,HIPS,1,5.95,264.1,47.5,48.9,49.9,
B37 x H95,6274,2,HIPS,1,8.7,357,50.4,51.8,51.5,
PHZ51 x LH145,6276,1,HIPS,1,6.3,253.5,48.9,39.3,47.8,
PHZ51 x LH145,6276,2,HIPS,1,7.45,332.9,52.8,52.1,52.4,
B14A,1028,1,SAM,2,6.28,367,315.2,328.3,422.6,
B14A,1028,2,SAM,2,8.85,436.2,453.6,495.4,449.3,
2FACC,1052,1,SAM,2,9.1,387.8,403.8,421.8,377,
2FACC,1052,2,SAM,2,8.22,368.4,385.7,394.8,306.4,
PHZ51,1056,1,SAM,2,5.97,299.7,261.6,273.6,303.1,
PHZ51,1056,2,SAM,2,4.38,248,140.1,229.8,258.3,
B37,1077,1,SAM,2,8.04,352.2,370.1,349.8,409.9,
B37,1077,2,SAM,2,7.41,336.7,348,346,376,
B84@,1091,1,SAM,2,7.79,372,412.1,431.8,440.6,
B84@,1091,2,SAM,2,7.73,370.7,340.4,382.4,425.9,
Mo17@,1096,1,SAM,2,5.84,292,361.9,304.2,231.1,
Mo17@,1096,2,SAM,2,7.48,340.2,404.6,370.1,384.1,
Wf9@,1127,1,SAM,2,7.17,372.5,208.4,250.8,391.8,
Wf9@,1127,2,SAM,2,9.47,478.6,177.3,338.6,398,
Oh43E@,1144,1,SAM,2,8.77,440.1,371,419.4,414.3,
Oh43E@,1144,2,SAM,2,10.49,505.1,371.8,398,440.6,
LH123HT@,1157,1,SAM,2,7.73,365.7,355.5,322.6,286.7,
LH123HT@,1157,2,SAM,2,7.54,379.6,310.8,313,219.3,
Oh43@,1197,1,SAM,2,10.92,491.2,388.8,431.8,323.5,
Oh43@,1197,2,SAM,2,7.8,420,303.1,369.3,229.8,
LH82@,1206,1,SAM,2,7.75,400.5,338.6,435.9,384.9,
LH82@,1206,2,SAM,2,7.22,383.7,296.4,375.2,375.2,
PHJ40@,1217,1,SAM,2,9.49,425.1,515.1,356,435.2,
PHJ40@,1217,2,SAM,2,9.01,409.7,495.4,571.2,491.1,
PHK76@,1218,1,SAM,2,10.09,464.1,483.2,487.8,500.9,
PHK76@,1218,2,SAM,2,8.45,417.7,499,522.8,494.2,
3IIH6@,1239,1,SAM,2,6.89,313.8,350.8,374.3,407.1,
3IIH6@,1239,2,SAM,2,6.88,316.1,343.2,374.3,380.8,
LH145@,1252,1,SAM,2,6.21,311,384.1,448.6,462.9,
LH145@,1252,2,SAM,2,4.3,249,347,365.2,360.1,
H95@,1289,1,SAM,2,7.1,335.4,265.3,298.3,347,
H95@,1289,2,SAM,2,6.95,363.7,256.1,243,297.3,
F42@,1330,1,SAM,2,7.99,347.5,558.1,453,499.6,
F42@,1330,2,SAM,2,8.44,378,455.6,510.3,558.5,
H95@,2053,1,SAM,2,6.51,336.4,387.4,394,446.5,
H95@,2053,2,SAM,2,8.13,400.9,358.3,384.1,416.5,
3IIH6@,2060,1,SAM,2,7.94,345.5,454.3,501.6,515.1,
3IIH6@,2060,2,SAM,2,8.45,355.1,474,427.5,430.4,
PHK76@,2068,1,SAM,2,7.14,363.3,499.6,487.8,491.1,
PHK76@,2068,2,SAM,2,8.6,402.2,574.5,616.4,640.4,
LH145@,2098,1,SAM,2,6.11,302.2,246.9,192.1,461.5,
LH145@,2098,2,SAM,2,5.8,305.5,361.1,359.2,388.8,
Oh43@,2109,1,SAM,2,8.31,351.8,413.6,347,373.4,
Oh43@,2109,2,SAM,2,8.9,428.8,334.9,378,440.6,
PHJ40@,2127,1,SAM,2,7.68,369.6,460.2,470.7,510.9,
PHJ40@,2127,2,SAM,2,5.75,307.7,549.7,521.6,527.9,
LH82@,2136,1,SAM,2,7.78,394.9,709.6,479.9,391,
LH82@,2136,2,SAM,2,8.99,419.3,366.8,412.8,315.2,
B73@,2180,1,SAM,2,6.38,310.6,262.7,345.1,329.2,
B73@,2180,2,SAM,2,6.76,317.4,342.2,367.7,420.2,
LH123HT@,2181,1,SAM,2,9.38,449.8,412.1,444.3,420.2,
LH123HT@,2181,2,SAM,2,9.57,487.5,343.2,470.7,406.2,
Oh43E@,2225,1,SAM,2,11.98,521.2,430.4,506.7,387.4,
Oh43E@,2225,2,SAM,2,15.07,560.8,585.4,603.4,487.8,
2FACC@,2241,1,SAM,2,6.62,307.7,392.5,340.4,328.3,
2FACC@,2241,2,SAM,2,6.71,306.2,442.8,516.3,442.1,
Wf9@,2242,1,SAM,2,8.96,471.6,364.4,398.8,466.2,
Wf9@,2242,2,SAM,2,10.03,468.2,216.7,460.9,471.4,
